"","ensembl_gene_id","hgnc_symbol","spin","tpm_resting","tpm_activated"
"88","ENSG00000118276","B4GALT6","Interior_Act3",115.00445339862,388.704733376546
"89","ENSG00000118307","CASC1","Lamina related",173.825273786943,53.382342544802
"90","ENSG00000118473","SGIP1","Lamina related",3.53085492772628,5.731361323183
"91","ENSG00000118492","ADGB","Lamina related",2.5247580316631,7.17385006275711
"92","ENSG00000118961","C2orf43","Lamina related",3364.30583453836,13046.2046166684
"93","ENSG00000119042","SATB2","Lamina related",5.32516726109421,1.9103827542001
"94","ENSG00000119121","TRPM6","Lamina related",76.7762342044045,35.5098194478738
"95","ENSG00000120251","GRIA2","Lamina related",0,0
"96","ENSG00000122507","BBS9","Lamina related",3418.21217432925,698.04437416664
"97","ENSG00000122729","ACO1","Lamina related",2802.07401990307,3217.18168735948
"98","ENSG00000122783","C7orf49","Lamina related",2456.3830777029,3357.62696238542
"99","ENSG00000122787","AKR1D1","Lamina related",2.11498482380831,0
"100","ENSG00000123636","BAZ2B","Interior_Act3",1522.74958649288,535.239257142356
"101","ENSG00000125879","OTOR","Lamina related",0,0
"102","ENSG00000127249","ATP13A4","Lamina related",204.640134197254,105.302623827451
"103","ENSG00000127947","PTPN12","Interior_Act3",1712.49060539465,545.580992197144
"104","ENSG00000128512","DOCK4","Lamina related",116.492401218685,35.7812350817604
"105","ENSG00000128513","POT1","Lamina related",4738.250563557,6632.55256036808
"106","ENSG00000130413","STK33","Lamina related",39.9110534885828,296.445396393084
"107","ENSG00000131018","SYNE1","Lamina related",6870.69259845503,1226.14855043102
"108","ENSG00000131951","LRRC9","Lamina related",48.8184892546405,3.93791840115212
"109","ENSG00000132874","SLC14A2","Lamina related",13.3277807896124,7.60398260807122
"110","ENSG00000133019","CHRM3","Lamina related",45.880541330075,37.5946027577619
"111","ENSG00000133083","DCLK1","Lamina related",0,0
"112","ENSG00000133103","COG6","Lamina related",3121.29496113767,2656.71006806757
"113","ENSG00000133116","KL","Lamina related",103.98505345449,187.633498862521
"114","ENSG00000133773","CCDC59","Lamina related",6853.8062846135,12449.6882557263
"115","ENSG00000133958","UNC79","Lamina related",12.1510853644263,4.6081043888363
"116","ENSG00000134371","CDC73","Lamina related",7048.91479059331,7353.82856416269
"117","ENSG00000135077","HAVCR2","Lamina related",1015.37241344743,4982.83640857549
"118","ENSG00000135903","PAX3","Lamina related",2.06165491979665,0
"119","ENSG00000136273","HUS1","Lamina related",6158.46201479187,5686.57097466462
"120","ENSG00000136531","SCN2A","Lamina related",4.02098453423801,2.66894866571476
"121","ENSG00000136770","DNAJC1","Interior_Act3",4285.40111407543,5406.33273544201
"122","ENSG00000137038","TMEM261","Lamina related",10505.7192779566,11747.1188794789
"123","ENSG00000137634","NXPE4","Lamina related",24.9570249723761,0
"124","ENSG00000137673","MMP7","Lamina related",0,16.3883775642075
"125","ENSG00000137767","SQRDL","Lamina related",3881.15784815573,14892.9827180978
"126","ENSG00000137872","SEMA6D","Lamina related",0,0
"127","ENSG00000137944","CCBL2","Lamina related",6908.27812231508,14573.835994241
"128","ENSG00000138378","STAT4","Lamina related",21995.7550832842,10775.4301899749
"129","ENSG00000138587","MNS1","Lamina related",98.6707153679508,93.1832152713158
"130","ENSG00000138670","RASGEF1B","Lamina related",1648.01293595574,160.42098039093
"131","ENSG00000138709","LARP1B","Interior_Act3",1884.98759765287,4490.01470156647
"132","ENSG00000138738","PRDM5","Lamina related",63.1052013122556,13.1200118290802
"133","ENSG00000138829","FBN2","Lamina related",1.71528822093787,0
"134","ENSG00000139144","PIK3C2G","Lamina related",0,0
"135","ENSG00000139154","AEBP2","Lamina related",5546.70113211497,8192.18649845344
"136","ENSG00000139220","PPFIA2","Lamina related",0,0
"137","ENSG00000139865","TTC6","Lamina related",0,0
"138","ENSG00000139970","RTN1","Lamina related",10.7172960930981,6.74310652940076
"139","ENSG00000140015","KCNH5","Lamina related",0,0
"140","ENSG00000140563","MCTP2","Lamina related",1781.91667502064,1436.51945303773
"141","ENSG00000141447","OSBPL1A","Lamina related",348.934854380173,206.00426882982
"142","ENSG00000141449","GREB1L","Lamina related",361.740758166366,56.5982136546708
"143","ENSG00000142875","PRKACB","Lamina related",29300.5161958606,10488.5683046238
"144","ENSG00000143473","KCNH1","Lamina related",30.4155092992271,0
"145","ENSG00000143507","DUSP10","Lamina related",1229.98920898766,5379.98839410209
"146","ENSG00000144036","EXOC6B","Lamina related",1633.68862407652,723.078413699937
"147","ENSG00000144229","THSD7B","Lamina related",1.9348264004848,1.68832060782478
"148","ENSG00000144278","GALNT13","Lamina related",2.3395408509657,23.0613964597743
"149","ENSG00000144283","PKP4","Interior_Act3",3401.6588985723,4735.0335380798
"150","ENSG00000144290","SLC4A10","Lamina related",198.698921016201,354.576954403562
"151","ENSG00000144724","PTPRG","Lamina related",8.59294865465121,10.7071201231143
"152","ENSG00000145012","LPP","Lamina related",1075.41108538446,1248.51293547143
"153","ENSG00000145075","CCDC39","Lamina related",1746.09580198767,442.053069341084
"154","ENSG00000145349","CAMK2D","Lamina related",7880.16611175237,9282.66166788833
"155","ENSG00000145416","MARCH1","Lamina related",1028.98621151792,515.49441563876
"156","ENSG00000145526","CDH18","Lamina related",0,0
"157","ENSG00000145555","MYO10","Lamina related",34.131216375672,51.2018356015791
"158","ENSG00000145850","TIMD4","Lamina related",2251.34695578904,2635.89397834482
"159","ENSG00000145934","TENM2","Lamina related",1.4531192147591,1.25457228864665
"160","ENSG00000145996","CDKAL1","Interior_Act3",5365.35535687564,7534.45318143968
